Day,Month,Term Used,Title,URL,Year,barbarian,barbaric,extremis,fanatic,fundamentalis,jihad,militant,murder,radical,refugee,terror,terrorism,terrorist,violence,violent
15,Sept.,True,FAST TAKES,https://link.galegroup.com/apps/doc/A554491744/SPN.SP01?u=nypl&sid=SPN.SP01&xid=a4e4cc6c,2018,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
14,Sept.,False,Lowering the Barr,https://link.galegroup.com/apps/doc/A554192661/SPN.SP01?u=nypl&sid=SPN.SP01&xid=6e228775,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Sept.,False,Roseanne Israel-ly staying far from spinoff,https://link.galegroup.com/apps/doc/A552847389/SPN.SP01?u=nypl&sid=SPN.SP01&xid=1ef6b16c,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Sept.,True,POSTSCRIPT Mission to Burma,https://link.galegroup.com/apps/doc/A552762270/SPN.SP01?u=nypl&sid=SPN.SP01&xid=c4af6d9a,2018,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
28,Aug.,True,Muslim jail guard files bias suit,https://link.galegroup.com/apps/doc/A551990709/SPN.SP01?u=nypl&sid=SPN.SP01&xid=f962e4b9,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,Aug.,False,TV Rosie will die,https://link.galegroup.com/apps/doc/A551990754/SPN.SP01?u=nypl&sid=SPN.SP01&xid=85ee01c6,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Aug.,False,Butt-grab slap on officer,https://link.galegroup.com/apps/doc/A551869052/SPN.SP01?u=nypl&sid=SPN.SP01&xid=4e06e734,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Aug.,False,Genoa's heartbreak Bridge victims mourned at mass funeral,https://link.galegroup.com/apps/doc/A550843613/SPN.SP01?u=nypl&sid=SPN.SP01&xid=8e0f3cf9,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Aug.,True,PostScript Making Hay With 'Hate',https://link.galegroup.com/apps/doc/A550049034/SPN.SP01?u=nypl&sid=SPN.SP01&xid=76a9e233,2018,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
10,Aug.,False,FAST TAKES,https://link.galegroup.com/apps/doc/A549596617/SPN.SP01?u=nypl&sid=SPN.SP01&xid=7f7f46be,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Aug.,False,Ocasio is left with mud on her face,https://link.galegroup.com/apps/doc/A549476722/SPN.SP01?u=nypl&sid=SPN.SP01&xid=318d2e73,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
